tweet_id,tweet_text,tweet_created_at,tweet_hashtags,location,user_id,user_name,user_screen_name,verified,verification_type,user_followers_count,professional_type
1927323126020321303,@sarahrubyjane_ Ye keee…. Takut nanti banjir je malaysia nantii…. Hahahahaha,Tue May 27 11:16:55 +0000 2025,null,Air fryer,1468572747957563395,mochie saw KAI!🐻,statueoflino,False,null,191,null
1927023343393239054,"Pengetua digantung tugas, menari ketika sekolah banjir | 15 Minit MMTV 26 Mei 2025 

#15minitmmtv #utusanonline #kosmoonline #mmtv #berita #relevan #mutakhir https://t.co/VbGFm1CHP5",Mon May 26 15:25:42 +0000 2025,"15minitmmtv,utusanonline,kosmoonline,mmtv,berita,relevan,mutakhir",Malaysia,42199532,Utusan Malaysia,UMonline,False,null,874400,Business
1926509563857018992,"Loji ini dibina di kws berisiko banjir, namun direka dgn strategi sgt bijak apabila semua peralatan utama diletakkan di paras tinggi berdasarkan kajian banjir 100 tahun, menjadikannya tahan cuaca ekstrem dan turut berfungsi sbg kws tadahan air semula jadi semasa musim tengkujuh.",Sun May 25 05:24:07 +0000 2025,null,"Putrajaya, Malaysia",1738876617731268608,Kementerian Peralihan Tenaga dan Transformasi Air,PETRAMalaysia,False,null,464,null
1926485985056936382,"Weather

Dekat sana sama je macam dekat Malaysia ada musim hujan berderet jugak. Elakkan pergi bulan September-Dec. Dia takde la hujan hari ada hari cerah jugak. Time lebat banjir macam kita jugak 🥲 https://t.co/W4GddIXbmY",Sun May 25 03:50:25 +0000 2025,null,,1273925101176516612,Zalea ྀི,zalyazahari,False,null,35362,Creator
1926440510153015505,Australia dah banjir teruk. Terkesan perubahan iklim ekstrem. Malaysia perlu berjaga-jaga,Sun May 25 00:49:43 +0000 2025,null,Japan,262912705,Jai-yen,Jaiyen_nakal,False,null,3858,null
1926432376227348903,"I LOVE MALAYSIA SO MUCH! 🥹

Pagi Pagi dah banjir, tengok komen mereka di satu video pakcik 🇲🇾 bantu tourist China.

Indah rakyat kita ni, hanya selfish politicians yang buat guru hara.

Boleh baca sendiri disini :

https://t.co/d6cDcdVVgz https://t.co/0jrnqgLCzI",Sun May 25 00:17:24 +0000 2025,null,Melaka,1358362034,N.S.M,Nsyawana,False,null,2355,Creator
1926302969776976191,"Aku tak paham dengan jantan malaysia ni, amoi secantik ni, still single. Body solid, buat amal masa banjir. Apa korang nak? Kawan aku ni serba serbi perfect. Hoi jantan luar sana buta ke apa?",Sat May 24 15:43:11 +0000 2025,null,"iPhone: 41.39639,41.50199",311862727,rulduff 💉❄,rulduff,False,null,19456,null
1926266967607955629,"Banjir besar di Australia ragut lima nyawa

https://t.co/vRF2AhMXyb",Sat May 24 13:20:08 +0000 2025,null,Malaysia,42199532,Utusan Malaysia,UMonline,False,null,874400,Business
1926229269908271270,"#bangkok Malaysia memperuntukkan kira-kira RM3 bilion bagi Projek Penambahbaikan Muara Sungai Golok, satu inisiatif strategik rentas sempadan dengan Thailand yang bertujuan mengurangkan risiko banjir, melindungi komuniti setempat dan memperkukuh keselamatan negara.…",Sat May 24 10:50:20 +0000 2025,bangkok,Malaysia,63070015,Harian Metro,hmetromy,False,null,1756382,null
1926224756023423157,"Malaysia peruntuk RM3 bilion untuk projek Sungai Golok

Malaysia peruntuk RM3 bilion bagi projek penambahbaikan muara Sungai Golok untuk kurangkan banjir dan tingkat keselamatan sempadan.

#SinarHarian #SungaiGolok

https://t.co/ESQep2kwGy",Sat May 24 10:32:24 +0000 2025,"SinarHarian,SungaiGolok",Malaysia,331383958,SinarHarian,SinarOnline,False,null,1144872,Business
1926221611440423402,"Malaysia peruntuk RM3b biaya projek tambah baik Sungai Golok - Fadillah

#BHnasional Inisiatif strategik rentas sempadan dengan Thailand bagi kurang risiko banjir, lindung komuniti setempat, perkukuh keselamatan negara

https://t.co/Al6BpmTeFs",Sat May 24 10:19:54 +0000 2025,BHnasional,Malaysia,63070483,Berita Harian,bharianmy,False,null,1908248,Business
1926212311666069845,"Setakat ini, kemajuan fizikal projek telah mencapai 24.5%, dan dijangka siap sepenuhnya pada Januari 2027.

Matlamatnya jelas iaitu untuk mengekalkan garisan pantai, menghalang banjir pantai dan melindungi harta benda serta infrastruktur awam daripada kemusnahan akibat hakisan. https://t.co/STWMN7POx1",Sat May 24 09:42:57 +0000 2025,null,"Putrajaya, Malaysia",1738876617731268608,Kementerian Peralihan Tenaga dan Transformasi Air,PETRAMalaysia,False,null,464,null
1926126805276045672,"Malaysia, Thailand jalin kerjasama tangani banjir di muara Sungai Golok
#MediaPermata #BeritaBrunei #ASEAN #Malaysia #Thailand #jalin #kerjasama #tangani #banjir #di #muara #SungaiGolok
https://t.co/LstGMlwMBZ https://t.co/bZO0Jgl4nF",Sat May 24 04:03:10 +0000 2025,"MediaPermata,BeritaBrunei,ASEAN,Malaysia,Thailand,jalin,kerjasama,tangani,banjir,di,muara,SungaiGolok",Brunei,1060836139764838401,Media Permata,MediaPermata,False,null,952,Business
1926121660446371843,"Kini, Fasa 2 pula sedang dilaksanakan dgn peruntukan lebih RM1 bilion. Ia bakal mengurangkan kwsn risiko banjir drpd 40,620 hektar kpd hanya 8,100 hektar, memberi perlindungan tambahan kpf lebih 35,000 penduduk.

#kitapetraskuad
#petraskuad
#PETRA
#EkonomiMADANI
#MalaysiaMADANI https://t.co/dRvrSwp8mu",Sat May 24 03:42:44 +0000 2025,"kitapetraskuad,petraskuad,PETRA,EkonomiMADANI,MalaysiaMADANI","Putrajaya, Malaysia",1738876617731268608,Kementerian Peralihan Tenaga dan Transformasi Air,PETRAMalaysia,False,null,464,null
1926121214881276269,"PETRA komited memberikan penyelesaian jangka pjg kpd masalah banjir di Kelantan.

Fasa 1 yg kini 95.9% siap bakal melindungi 95,000 penduduk drpd perlu berpindah akibat banjir, menyelamatkan 10km kwsn tebing sungai yg padat dgn infrastruktur awam dan mengurangkan kejadian banjir https://t.co/rfWebUVI7V",Sat May 24 03:40:57 +0000 2025,null,"Putrajaya, Malaysia",1738876617731268608,Kementerian Peralihan Tenaga dan Transformasi Air,PETRAMalaysia,False,null,464,null
1926120822915146034,"Skuad PETRA yang diketuai oleh YBhg. Dato’ Haji Mad Zaidi Bin Mohd Karli, KSU PETRA bersama pasukan telah mengadakan lawatan kerja ke Projek Tebatan Banjir @ PLSB Sg. Kelantan, Kota Bharu.

Melalui Projek Lembangan Sungai Bersepadu (PLSB) Sungai Kelantan Fasa 1 &amp; 2, https://t.co/yCmPd7itl5",Sat May 24 03:39:24 +0000 2025,null,"Putrajaya, Malaysia",1738876617731268608,Kementerian Peralihan Tenaga dan Transformasi Air,PETRAMalaysia,False,null,464,null
1926120679381852620,"𝐓𝐈𝐍𝐉𝐀𝐔𝐀𝐍 𝐊𝐄𝐑𝐉𝐀 𝐊𝐄 𝐏𝐑𝐎𝐉𝐄𝐊 𝐓𝐄𝐁𝐀𝐓𝐀𝐍 𝐁𝐀𝐍𝐉𝐈𝐑 @ 𝐏𝐋𝐒𝐁 𝐒𝐆. 𝐊𝐄𝐋𝐀𝐍𝐓𝐀𝐍 | 𝟐𝟒 𝐌𝐄𝐈 𝟐𝟎𝟐𝟓 | 𝐊𝐎𝐓𝐀 𝐁𝐇𝐀𝐑𝐔, 𝐊𝐄𝐋𝐀𝐍𝐓𝐀𝐍

Banjir bukan sekadar air naik, namun, ia melibatkan nyawa, harta benda dan kesejahteraan ribuan keluarga. https://t.co/YPy7KbVkfr",Sat May 24 03:38:50 +0000 2025,null,"Putrajaya, Malaysia",1738876617731268608,Kementerian Peralihan Tenaga dan Transformasi Air,PETRAMalaysia,False,null,464,null
1926119484550468022,"@ThIsIs_Zharif Sorok Minyak masak sudah lupa?
Banjir paling teruk di Malaysia sudah lupa?
Penyelewengan biometrik pekerja asing lari ke luar negara, sudah lupa?",Sat May 24 03:34:05 +0000 2025,null,Malaysia,821911426201567232,Jon Snow,ZiggieMY,False,null,11,null
1925970184684089533,kau sembang tandas malaysia takde bidet mcm takde air langsung mcm kat barat. elok la tu ada air pancut dari bontot kau tu takde la asik nak banjir je tandas,Fri May 23 17:40:49 +0000 2025,null,"Dengkil, Selangor",361772203,FATI ,fat_deadpoool,False,null,628,null
1925919347953832378,"Acara terakhir saya untuk hari ini mengadakan pertemuan dengan HE Narumon Pinyosinwat, Menteri Agrikultur dan Koperasi Thailand. 

Dalam pertemuan berkenaan kerajaan Thailand menunjukkan kesungguhan untuk bersama-sama Malaysia dalam menangani isu banjir di Sungai Golok.… https://t.co/evPe0UscYh",Fri May 23 14:18:49 +0000 2025,null,Malaysia,151798880,Fadillah Yusof 🇲🇾,PetraJayaMP,False,null,47218,null
1925886106832158989,"Nunukan Darurat Banjir, BPBD Sebut 'Kiriman' dari Malaysia https://t.co/Hmy6b2SgMe",Fri May 23 12:06:43 +0000 2025,null,,1902243031878922240,detikkalimantan,detikkalimantan,False,null,33,null
1925821628207796235,"#Kelantan Projek Penambahbaikan Muara Sungai Golok (Malaysia–Thailand): Sebahagian daripada inisiatif Kerjasama Rentas Sempadan (Cross-Border Collaboration), mengurangkan risiko banjir.

https://t.co/EIi63uTiHB

The Star
Gambar hiasan: BERNAMA https://t.co/TGlacFaJtd",Fri May 23 07:50:30 +0000 2025,Kelantan,"Putrajaya, Malaysia",777008110271549440,EvolusiBina,evolusibina,False,null,1121,Business
